Ticker,Sector,MarketCap,Beta_scaled,GrossMargin,ROE,PBR,PE,NetDebtEquity,SMA_20,EMA_20,MACD_std,MACD_alt,RSI_14,RSI_21,RSI_50
AAPL,ELECTRONIC COMPUTERS,3153550301640.0,14935826000.0,0.4620634981523393,1.6459350307287095,55.3740175880597,33.64289388964752,1.6973134328358208,206.78749999999997,206.77601519843924,6.342572318358293,12.580659487473866,68.0079642610633,67.05148334282549,62.55816990038388
MSFT,SERVICES-PREPACKAGED SOFTWARE,3742360161466.15,7432543865.0,0.6976444382797138,0.32828137978299815,13.93922072082953,42.46119816495133,0.16737746622615718,439.26150000000024,441.8841781438862,8.423970486712676,16.967199433756207,69.65241482764196,66.03327576532246,60.999496204648885
XOM,PETROLEUM REFINING,490436897829.8,4309638821.0,,0.12957214548088364,1.8123652019164394,13.987305644976185,,112.51700000000005,113.43521805950047,-0.15250173158972302,0.5571266197024727,54.82650186612278,52.56141408981537,51.56504449221953
JNJ,PHARMACEUTICAL PREPARATIONS,376021132042.12,2406073279.0,0.6907150336069173,0.19675479087984332,5.259772444287592,26.732627046930187,0.45321023919429293,146.748,147.02438680324585,-0.500359465119061,-1.171629018255743,47.23884396189147,45.2104710314456,45.92228989427337
AMZN,RETAIL-CATALOG & MAIL-ORDER HOUSES,2362563064653.78,10616352407.0,0.48854393464156787,0.2071825715984194,8.26157661521761,39.875828123375975,0.2028184774626709,186.64,188.17619051631436,3.063603926310833,7.77300982362334,65.08877623379414,62.49883689187469,59.547352293737724
GE,ELECTRONIC & OTHER ELECTRICAL EQUIPMENT (NO COMPUTER EQUIP),266948568342.19,1066386643.0,0.37194460234613197,0.3356164383561644,13.644886952677878,40.65619377736674,0.9851257411572275,161.02700000000002,161.07041452299188,-0.3462425010247898,-0.5668702983813887,45.7526378955052,49.24391777611017,56.25277797188165
T,TELEPHONE COMMUNICATIONS (NO RADIOTELEPHONE),202196421201.80002,7195602178.0,,0.13302736670015838,1.7216704518128099,12.942227562043144,1.1358968682413446,18.242500000000007,18.287186125622853,0.3755914381277883,0.8543086562805939,71.50486812434366,67.65245249675365,60.73077296749984
JPM,NATIONAL COMMERCIAL BANKS,778597714474.92,2749674087.0,,0.15112938349020064,2.3746567762244495,15.712740443875525,,197.81249999999994,198.54529071357138,1.1609402584758755,3.8962118128590646,65.26763134386923,60.72407257967743,58.82400745785713
WFC,NATIONAL COMMERCIAL BANKS,263393912624.30002,3220368170.0,,0.11026366076458308,1.4546845494145781,13.19278300146757,0.9558834899981222,58.24050000000001,58.60802688756669,-0.1312115581000839,0.27536786378150424,59.96855369981359,56.650881458629655,57.040368538869984
GOOG,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC.",2155859908140.96,12134751256.0,0.5820043540617911,0.30797578472025694,6.631701062313002,21.533189917307176,0.036913536193722236,179.50600000000009,180.2159564775122,3.1417043469505472,7.158070184073523,62.703759011132,62.85266436527442,60.6337120720204
PG,"SOAP, DETERGENTS, CLEANG PREPARATIONS, PERFUMES, COSMETICS",369312261195.68005,2344542034.0,0.5139399564487916,0.29616883245317355,7.304580019297851,24.66356759687993,,166.77249999999995,166.2672946104083,0.10832882816470146,-0.47374785234427463,39.002971446163286,43.11259509136426,50.68864414861954
PFE,PHARMACEUTICAL PREPARATIONS,145317944403.72,5685365587.0,0.719443003756267,0.0910991333039538,1.6420663344940507,18.025048921324732,,28.115499999999987,27.98177551012299,-0.05921169790323333,0.004867740549482136,53.47161950601581,51.75323487574503,50.656749776560716
VZ,TELEPHONE COMMUNICATIONS (NO RADIOTELEPHONE),179654621885.54,4216254914.0,,0.12894593758995299,1.9153148955270314,14.85362727453824,,40.665000000000006,40.64659562983688,0.277769117924791,0.733796390636293,63.79383464853197,60.40796094539387,56.052203321137384
CVX,PETROLEUM REFINING,265030640000.00003,1732000000.0,0.41217602272278986,0.11588761858746253,1.7304507139732432,14.932144909572372,,155.74300000000005,156.5777796250828,-0.5756888309284136,-0.7359556758253234,49.27693390893516,48.36661959071218,48.77198174728029
BRK.B,"FIRE, MARINE & CASUALTY INSURANCE",1033169176023.2101,2157334731.0,,0.13743622008578157,1.585454229650981,11.53592720071471,,409.38499999999993,408.84545740940723,-0.3557453956761947,-1.238674862217806,43.35834993159733,45.98391555089544,51.7890194560808
KO,BEVERAGES,300308690310.26,4304266738.0,0.6106330082233696,0.40379948430153195,11.387406731012438,28.200647038243968,,63.36550000000001,63.23871161770263,0.28728163293448716,0.6435285493064384,53.534474355269836,53.69863554378385,56.05063686763359
MRK,PHARMACEUTICAL PREPARATIONS,210976845877.06,2511031253.0,0.7632308939035033,0.36946864487190545,4.549660266476753,12.314063262537793,,129.74650000000005,129.35708070115376,-0.11360691457127814,-0.8588719231827042,46.958592389553125,48.56924639942548,51.922671790671814
HD,RETAIL-LUMBER & OTHER BUILDING MATERIALS DEALERS,371406616800.5,994927985.0,0.3341901024361498,2.2298192771084335,55.93473144585843,25.084872132952857,7.735692771084337,340.86749999999995,341.9270973510973,1.341286133523397,-0.0886271231788669,45.63498127607155,46.04312940745677,48.423770494308485
INTC,SEMICONDUCTORS & RELATED DEVICES,103902840000.0,4362000000.0,0.32664168283083184,-0.18311562190570493,0.9892493716200776,-5.402321010762751,0.47615012567598447,30.666500000000003,30.802464521323618,-0.2207161260245485,-0.5892226484237888,48.19209044131821,43.9479316562461,42.99312776281306
BAC,NATIONAL COMMERCIAL BANKS,349300835410.45,7436679485.0,,0.09179893016284396,1.1818311586195989,12.874127797819918,0.9584516120300853,39.5925,39.480314458165495,0.2192113928771775,0.5221263056781567,57.758224161932475,56.98843795926528,58.148849542197794
CMCSA,CABLE & OTHER PAY TELEVISION SERVICES,132247793094.34001,3733703927.0,,0.18453474046351612,1.5370858585083336,8.329520255359325,,38.37600000000002,38.39111798385597,-0.16089592249198859,-0.24505881872795499,46.873063506500316,45.60427842692373,45.278682744887654
CSCO,COMPUTER COMMUNICATIONS EQUIPMENT,272289474856.80002,3959998180.0,0.6473244986339052,0.22702774050201288,5.990044984420441,26.38463903651163,0.4421761224893856,46.51349999999999,46.84743648082071,0.10583904925796617,0.36175876629537385,58.234276041457036,53.296823159246884,48.13503907567116
V,"SERVICES-BUSINESS SERVICES, NEC",695211681069.92,1953500284.0,,0.504458696374275,17.76354041111787,35.213072029069544,,272.37249999999983,271.43790500675397,-2.0211918135705105,-5.896141860665523,34.400223042289866,37.486336181568056,45.69222988131181
PM,CIGARETTES,277028928052.36,1556517182.0,0.6334508443736852,-0.8752911285200085,-29.327644299424094,33.506159658001934,,102.37149999999997,101.53065616014203,0.39204860524763774,0.7739775716972304,51.56444857879708,53.31807023659202,56.02850399953808
PEP,BEVERAGES,186576503803.2,1371079540.0,0.5421390386023985,0.4912271288297473,10.011080313526856,20.379738263593666,2.2277727102001394,167.38099999999997,167.7473248063097,-2.3311769096492583,-4.54695896616721,32.345939295023896,37.015867081039424,44.426535130676164
DIS,SERVICES-MISCELLANEOUS AMUSEMENT & RECREATION,218534041565.16,1797746311.0,,0.0547089706411933,2.070980852951612,37.85450226314914,0.43417486400940086,101.39049999999996,101.58123749894446,-1.1923451892912595,-2.911999985161998,31.38941347367677,35.42625070018789,44.15629931747526
IBM,COMPUTER & OFFICE EQUIPMENT,267136457552.25,929396575.0,0.566522716045448,0.2198736903588508,9.751997136211806,44.352724149468706,,170.426,171.3928172793888,0.7988232829027311,1.61525771520607,59.44539932267366,54.893964338264986,51.97625383031214
C,NATIONAL COMMERCIAL BANKS,160305572000.0,1840900000.0,,0.061294575050390224,0.7656714652808957,12.491667731629393,1.3722380902343265,61.131999999999984,61.59288811045349,0.12186560213926612,0.8963823294871958,61.692309955371705,57.89053146464582,57.15382338975865
ORCL,SERVICES-PREPACKAGED SOFTWARE,660075755000.0,2808833000.0,,0.602174638752444,31.478647288854976,52.274946939098754,,134.51300000000003,135.72840905819785,5.081610307275355,9.709599772641894,69.14485990978649,66.85500217210813,62.118542843931685
MO,CIGARETTES,97277092489.5,1684451818.0,0.5981763677242068,-5.148080438756856,-44.45936585443327,8.636105512207031,-11.392138939670932,45.9605,45.761547976221216,0.1630325060560054,0.40692649693080796,55.24611738301602,54.28371602092052,55.72836360917373
UNH,HOSPITAL & MEDICAL SERVICE PLANS,271697633483.91,907140441.0,0.8833460744782377,0.15510644360320755,2.7648637754295398,17.82558939010038,,493.18150000000026,493.34089196606664,-1.7514108354425844,-0.4907372089159594,49.99714661829993,49.87126762910281,49.351714856327746
